Country,Happiness Rank,Happiness Score,Upperwhisker,Lowerwhisker,Economy (GDP per Capita),Social Support,Life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Finland,1,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2024
Denmark,2,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,2024
Iceland,3,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2024
Sweden,4,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,2024
Israel,5,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2024
Netherlands,6,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,2024
Norway,7,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,2024
Switzerland,9,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,2024
Australia,10,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,2024
New Zealand,11,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,2024
Costa Rica,12,6.955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123,2024
Austria,14,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,2024
Canada,15,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,2024
Belgium,16,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,2024
Ireland,17,6.838,6.927,6.749,2.129,1.39,0.7,0.758,0.205,0.418,2024
Lithuania,19,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2024
United Kingdom,20,6.749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,2024
Slovenia,21,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,2024
United Arab Emirates,22,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,2024
United States,23,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,2024
Germany,24,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,2024
Mexico,25,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2024
Uruguay,26,6.611,6.696,6.527,1.596,1.431,0.592,0.775,0.106,0.22,2024
France,27,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,2024
Saudi Arabia,28,6.594,6.707,6.48,1.842,1.361,0.511,0.787,0.114,0.188,2024
Kosovo,29,6.561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073,2024
Singapore,30,6.523,6.605,6.44,2.118,1.361,0.769,0.743,0.168,0.575,2024
Taiwan Province of China,31,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,2024
Romania,32,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2024
El Salvador,33,6.469,6.599,6.338,1.265,1.08,0.549,0.816,0.083,0.253,2024
Estonia,34,6.448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401,2024
Poland,35,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,2024
Spain,36,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,2024
Serbia,37,6.411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,2024
Chile,38,6.36,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,2024
Panama,39,6.358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043,2024
Malta,40,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,2024
Italy,41,6.324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074,2024
Nicaragua,43,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2024
Brazil,44,6.272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142,2024
Slovakia,45,6.257,6.332,6.182,1.706,1.54,0.638,0.566,0.096,0.058,2024
Latvia,46,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,2024
Uzbekistan,47,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,2024
Argentina,48,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,2024
Kazakhstan,49,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,2024
Cyprus,50,6.068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049,2024
Japan,51,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,2024
South Korea,52,6.058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158,2024
Philippines,53,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2024
Vietnam,54,6.043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.16,2024
Portugal,55,6.03,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035,2024
Hungary,56,6.017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067,2024
Paraguay,57,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,2024
Thailand,58,5.976,6.094,5.858,1.484,1.347,0.62,0.756,0.283,0.024,2024
Malaysia,59,5.975,6.078,5.872,1.646,1.143,0.54,0.829,0.226,0.119,2024
China,60,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,2024
Honduras,61,5.968,6.114,5.822,1.091,1.035,0.502,0.72,0.175,0.081,2024
Bahrain,62,5.959,6.153,5.766,,,,,,,2024
Croatia,63,5.942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043,2024
Greece,64,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,2024
Bosnia and Herzegovina,65,5.877,5.979,5.775,1.465,1.318,0.587,0.621,0.246,0.0,2024
Jamaica,67,5.842,6.059,5.624,1.28,1.324,0.567,0.647,0.089,0.028,2024
Peru,68,5.841,5.946,5.736,1.371,1.18,0.662,0.615,0.078,0.029,2024
Dominican Republic,69,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,2024
Mauritius,70,5.816,5.927,5.706,1.57,1.358,0.49,0.641,0.123,0.118,2024
Moldova,71,5.816,5.93,5.702,1.385,1.277,0.542,0.695,0.077,0.044,2024
Russia,72,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,2024
Bolivia,73,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061,2024
Ecuador,74,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,2024
Kyrgyzstan,75,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,2024
Montenegro,76,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132,2024
Mongolia,77,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,2024
Colombia,78,5.695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059,2024
Venezuela,79,5.607,5.725,5.489,0.0,1.321,0.491,0.518,0.192,0.086,2024
Indonesia,80,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,2024
Bulgaria,81,5.463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006,2024
Armenia,82,5.455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173,2024
South Africa,83,5.422,5.549,5.295,1.389,1.369,0.322,0.537,0.078,0.034,2024
Algeria,85,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2,2024
Hong Kong S.A.R. of China,86,5.316,5.403,5.229,1.909,1.184,0.857,0.485,0.147,0.402,2024
Albania,87,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,2024
Tajikistan,88,5.281,5.361,5.201,,,,,,,2024
Mozambique,90,5.216,5.406,5.027,0.56,0.883,0.156,0.728,0.158,0.196,2024
Georgia,91,5.185,5.283,5.087,1.467,0.99,0.524,0.68,0.0,0.174,2024
Iraq,92,5.166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048,2024
Nepal,93,5.158,5.29,5.027,0.965,0.99,0.443,0.653,0.209,0.115,2024
Laos,94,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,2024
Gabon,95,5.106,5.243,4.969,1.403,1.038,0.344,0.516,0.045,0.1,2024
Ivory Coast,96,5.08,5.224,4.936,1.08,0.578,0.288,0.547,0.12,0.164,2024
Guinea,97,5.023,5.166,4.881,0.831,0.622,0.236,0.521,0.21,0.107,2024
Senegal,99,4.969,5.096,4.841,0.927,0.751,0.392,0.607,0.152,0.069,2024
Iran,100,4.923,5.024,4.822,1.435,1.136,0.571,0.366,0.235,0.123,2024
Nigeria,102,4.881,5.018,4.744,1.042,1.075,0.256,0.566,0.201,0.019,2024
Cameroon,104,4.874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06,2024
Ukraine,105,4.873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,2024
Namibia,106,4.832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061,2024
Morocco,107,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,2024
Pakistan,108,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,2024
Burkina Faso,110,4.548,4.686,4.41,0.756,0.685,0.274,0.483,0.173,0.179,2024
Kenya,114,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,2024
Tunisia,115,4.422,4.505,4.338,1.306,0.955,0.579,0.254,0.024,0.018,2024
Benin,116,4.377,4.51,4.245,0.914,0.128,0.284,0.567,0.112,0.252,2024
Uganda,117,4.372,4.501,4.243,0.772,1.151,0.373,0.587,0.178,0.054,2024
Myanmar,118,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,2024
Cambodia,119,4.341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071,2024
Ghana,120,4.289,4.396,4.182,1.077,0.747,0.36,0.623,0.183,0.028,2024
Mali,122,4.232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09,2024
Togo,124,4.214,4.33,4.098,0.758,0.586,0.32,0.453,0.127,0.156,2024
Jordan,125,4.186,4.306,4.066,1.262,0.983,0.594,0.593,0.059,0.189,2024
India,126,4.054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122,2024
Egypt,127,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,2024
Sri Lanka,128,3.898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,2024
Bangladesh,129,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167,2024
Ethiopia,130,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,2024
Tanzania,131,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,2024
Zambia,134,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,2024
Malawi,136,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,2024
Zimbabwe,138,3.341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,2024
Sierra Leone,140,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,2024
Lebanon,142,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,2024
Afghanistan,143,1.721,1.775,1.667,0.628,0.0,0.242,0.0,0.091,0.088,2024
